No,Bujur,Lintang,Kepercayaan,Kabupaten/Kota,Kecamatan
370,118.2176 BT,1.4296 LU,Sedang,BERAU,TALISAYAN
371,118.2241 BT,1.4340 LU,Sedang,BERAU,TALISAYAN
372,118.1822 BT,1.5230 LU,Sedang,BERAU,TALISAYAN
373,118.2095 BT,1.5306 LU,Sedang,BERAU,TALISAYAN
374,118.2144 BT,1.5647 LU,Sedang,BERAU,TALISAYAN
375,117.5038 BT,2.1568 LU,Rendah,BERAU,TANJUNGREDEB
376,115.8465 BT,1.9241 LS,Sedang,PASER,"""BATU SOPANG"""
377,115.8607 BT,1.8694 LS,Sedang,PASER,"""BATU SOPANG"""
378,115.9243 BT,2.0050 LS,Sedang,PASER,"""MUARA SAMU"""
379,115.9475 BT,1.9938 LS,Sedang,PASER,"""MUARA SAMU"""
380,116.2071 BT,2.0993 LS,Sedang,PASER,BATUENGAU
381,116.2051 BT,2.1026 LS,Sedang,PASER,BATUENGAU
382,116.2025 BT,2.0986 LS,Sedang,PASER,BATUENGAU
383,116.0648 BT,2.2326 LS,Sedang,PASER,BATUENGAU
384,116.2597 BT,2.1991 LS,Sedang,PASER,BATUENGAU
385,116.2675 BT,2.2524 LS,Sedang,PASER,BATUENGAU
386,116.2676 BT,2.2520 LS,Sedang,PASER,BATUENGAU
387,116.1807 BT,2.2616 LS,Sedang,PASER,BATUENGAU
388,116.2052 BT,2.1011 LS,Sedang,PASER,BATUENGAU
389,116.0521 BT,1.6835 LS,Sedang,PASER,KUARO
390,116.0581 BT,1.6763 LS,Sedang,PASER,KUARO
391,116.0651 BT,1.6791 LS,Sedang,PASER,KUARO
392,116.0639 BT,1.6794 LS,Sedang,PASER,KUARO
393,116.0633 BT,1.6757 LS,Sedang,PASER,KUARO
394,115.7014 BT,1.6440 LS,Sedang,PASER,MUARAKOMAM
395,116.0235 BT,1.9098 LS,Sedang,PASER,PASIRBALENGKONG
396,116.0231 BT,1.9062 LS,Sedang,PASER,PASIRBALENGKONG
397,116.3348 BT,2.0347 LS,Sedang,PASER,PASIRBALENGKONG
398,115.9957 BT,1.9789 LS,Rendah,PASER,PASIRBALENGKONG
399,116.0233 BT,1.9090 LS,Sedang,PASER,PASIRBALENGKONG
400,116.0227 BT,1.9053 LS,Sedang,PASER,PASIRBALENGKONG
401,116.5079 BT,2.2934 LS,Sedang,PASER,TANJUNGHARAPAN
402,116.5072 BT,2.2930 LS,Rendah,PASER,TANJUNGHARAPAN
